year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,206,881,81.05
2005,1038,195,843,81.21
2006,1069,198,871,81.48
2007,1058,157,901,85.16
2008,1061,153,908,85.58
2009,1094,160,934,85.37
2010,1050,143,907,86.38
2011,1057,124,933,88.27
2012,1059,126,933,88.10
2013,1042,105,937,89.92
2014,1014,100,914,90.14
2015,1011,101,910,90.01
2016,1076,85,991,92.10
2017,1043,68,975,93.48
2018,1090,63,1027,94.22
2019,1038,62,976,94.03
2020,967,45,922,95.35
